,address,coords,lat,long,borough,geometry
0,735 East 211th St,"40.877499,-73.863489",40.877499,-73.863489,Bronx,POINT (-73.863489 40.877499)
1,1818 Bathgate Ave,"40.845051,-73.897747",40.845051,-73.897747,Bronx,POINT (-73.897747 40.845051)
2,1017 Teller Ave,"40.82815,-73.914356",40.82815,-73.91435600000001,Bronx,POINT (-73.91435600000001 40.82815)
3,1328 Clay Ave,"40.834934,-73.908892",40.834934000000004,-73.90889200000001,Bronx,POINT (-73.90889200000001 40.834934)
4,2044 Prospect Ave,"40.845818,-73.887851",40.845818,-73.887851,Bronx,POINT (-73.887851 40.845818)
5,"2242 Creston Ave<br />
","40.856422,-73.901743",40.856421999999995,-73.90174300000001,Bronx,POINT (-73.90174300000001 40.85642199999999)
6,3634 Eastchester Rd,"40.881760,-73.848453",40.88176,-73.848453,Bronx,POINT (-73.84845300000001 40.88176)
7,"1642 Castle Hill Ave<br />
","40.838736,-73.852668",40.838736,-73.85266800000001,Bronx,POINT (-73.85266800000001 40.838736)
8,"724 Courtlandt Ave<br />
","40.820874,-73.917274",40.820873999999996,-73.917274,Bronx,POINT (-73.91727400000001 40.820874)
9,927 Faile St,"40.821493,-73.889633",40.821493,-73.88963299999999,Bronx,POINT (-73.88963299999999 40.821493)
10,"1106 Fox St<br />
","40.826720,-73.893957",40.82672,-73.893957,Bronx,POINT (-73.893957 40.82672)
11,"1025 Anderson Avenue<br />
","40.833119,-73.927260",40.833119,-73.92726,Bronx,POINT (-73.92726 40.833119)
12,"378 Willis Ave<br />
","40.812418,-73.920058",40.812418,-73.920058,Bronx,POINT (-73.920058 40.812418)
13,91 Aberdeen St,"40.683346,-73.904931",40.683346,-73.904931,Brooklyn,POINT (-73.904931 40.683346)
14,"95 Malcolm X Blvd<br />
","40.690448,-73.930281",40.690447999999996,-73.93028100000001,Brooklyn,POINT (-73.93028100000001 40.690448)
15,"163 Concord St<br />
","40.697620,-73.984969",40.69762,-73.98496899999999,Brooklyn,POINT (-73.98496899999999 40.69762)
16,"34 Cooper St<br />
","40.684294,-73.910715",40.684294,-73.910715,Brooklyn,POINT (-73.910715 40.684294)
17,"1052 Decatur St<br />
","40.685814,-73.910099",40.685814,-73.910099,Brooklyn,POINT (-73.910099 40.685814)
18,"3030 Fulton St<br />
","40.680353,-73.883001",40.680353000000004,-73.88300100000001,Brooklyn,POINT (-73.88300100000001 40.680353)
19,"392 Hancock St<br />
","40.683339,-73.940087",40.683339000000004,-73.940087,Brooklyn,POINT (-73.94008700000001 40.683339)
20,"534 Carroll St<br />
","40.676242,-73.984786",40.676241999999995,-73.984786,Brooklyn,POINT (-73.984786 40.67624199999999)
21,"322 Franklin Ave<br />
","40.688085,-73.957368",40.688085,-73.957368,Brooklyn,POINT (-73.957368 40.688085)
22,"532 Hendrix St<br />
","40.668532,-73.888495",40.668532,-73.88849499999999,Brooklyn,POINT (-73.88849499999999 40.668532)
23,145 Hull St.,"40.679665,-73.91172",40.679665,-73.91171999999999,Brooklyn,POINT (-73.91171999999999 40.679665)
24,"87 Schenectady Ave<br />
","40.676315,-73.93288",40.676315,-73.93288000000001,Brooklyn,POINT (-73.93288000000001 40.676315)
25,"36 Aberdeen St<br />
","40.681772,-73.906175",40.681771999999995,-73.906175,Brooklyn,POINT (-73.906175 40.681772)
26,"327 Greene Ave<br />
","40.687609,-73.958157",40.687609,-73.958157,Brooklyn,POINT (-73.958157 40.687609)
27,974 Madison St.,"40.688854,-73.91882",40.688854,-73.91882,Brooklyn,POINT (-73.91882 40.688854)
28,130 Liberty Ave.,"40.672859,-73.905339",40.672859,-73.905339,Brooklyn,POINT (-73.905339 40.672859)
29,900 Broadway,"40.697744,-73.937006",40.697744,-73.93700600000001,Brooklyn,POINT (-73.93700600000001 40.697744)
30,"134 Scholes St<br />
","40.708459,-73.944227",40.708459000000005,-73.944227,Brooklyn,POINT (-73.944227 40.708459)
31,"931 Bedford Ave<br />
","40.692068,-73.955309",40.692068,-73.955309,Brooklyn,POINT (-73.955309 40.692068)
32,88 Williams Ave.,"40.674219,-73.900638",40.674219,-73.900638,Brooklyn,POINT (-73.900638 40.674219)
33,"105 East 103rd St<br />
","40.79095,-73.948591",40.79095,-73.94859100000001,Manhattan,POINT (-73.94859100000001 40.79095)
34,"415 East 117th St<br />
","40.796383,-73.934178",40.796383,-73.934178,Manhattan,POINT (-73.934178 40.796383)
35,171 E. 110th St.,"40.794534,-73.943176",40.794534000000006,-73.943176,Manhattan,POINT (-73.94317599999999 40.79453400000001)
36,431 E. 114th St.,"40.794273,-73.934774",40.794273,-73.934774,Manhattan,POINT (-73.934774 40.794273)
37,"Riverside Drive to Broadway, West 192nd Street to Dyckman Street","40.8608,-73.9325",40.8608,-73.9325,Manhattan,POINT (-73.9325 40.8608)
38,"Riverside Drive, Hudson River, W. 155 Street to Dyckman Street","40.85067314,-73.94526352",40.85067314,-73.94526352,Manhattan,POINT (-73.94526352 40.85067314)
39,499 W. 150th St. ,"40.828799,-73.945644",40.828799,-73.945644,Manhattan,POINT (-73.945644 40.828799)
40,"176 East 111th St<br />
","40.794874,-73.943143",40.794874,-73.943143,Manhattan,POINT (-73.94314300000001 40.794874)
41,"29 Dyckman St<br />
","40.859082,-73.924185",40.859082,-73.924185,Manhattan,POINT (-73.92418499999999 40.859082)
42,"223 East 119th St<br />
","40.799657,-73.937471",40.799657,-73.937471,Manhattan,POINT (-73.937471 40.799657)
43,326 Pleasant Ave.,"40.796076,-73.932037",40.796076,-73.932037,Manhattan,POINT (-73.93203699999999 40.796076)
44,564 West 149th St.,"40.828528,-73.948127",40.828528000000006,-73.948127,Manhattan,POINT (-73.948127 40.82852800000001)
45,"3703 10th Ave (Sherman Creek Park)<br />
","40.858911,-73.922823",40.858911,-73.922823,Manhattan,POINT (-73.92282299999999 40.858911)
46,"437 East 114th St<br />
","40.794155,-73.934501",40.794154999999996,-73.934501,Manhattan,POINT (-73.934501 40.794155)
47,"3725 10th Ave, New York, NY 10034","40.859835,-73.9243317",40.859835,-73.92433170000001,Manhattan,POINT (-73.92433170000001 40.859835)
48,"174 Suffolk St<br />
","40.721016,-73.985003",40.721016,-73.985003,Manhattan,POINT (-73.98500300000001 40.721016)
49,421 E. 117th St.,"40.796482,-73.933859",40.796482,-73.933859,Manhattan,POINT (-73.933859 40.796482)
50,603 E. 11th St.,"40.727477,-73.978997",40.727477,-73.97899699999999,Manhattan,POINT (-73.97899699999999 40.727477)
51,"117-15 165th St<br />
","40.684517,-73.780779",40.684517,-73.78077900000001,Queens,POINT (-73.78077900000001 40.684517)
52,"178-22 Linden Blvd<br />
","40.69241,-73.769647",40.692409999999995,-73.76964699999999,Queens,POINT (-73.76964699999999 40.69241)
53,253-13 Pembroke Ave,"40.770886,-73.73416",40.770886,-73.73416,Queens,POINT (-73.73416 40.770886)
54,30-03 Seagirt Blvd.,"40.595587,-73.763345",40.595587,-73.763345,Queens,POINT (-73.763345 40.595587)
55,143 Westervelt Ave.,"40.6441984,-74.0847242",40.6441984,-74.08472420000001,Staten Island,POINT (-74.08472420000001 40.6441984)
